artist_name,album_name,album_type,release_date,total_tracks,album_uri,name,duration_ms,explicit,track_number,popularity,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,track_uri
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,interlude: regular to irregular - live,187453,False,1,22,0.0692,0.23,0.435,0,-11.401,1,0.0484,0.192,0.808,0.625,140.277,5,spotify:track:6kByeT25uCjpDsvtczGDF2
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,"regular - korean version, live",247506,False,2,26,0.641,0.674,0.9,2,-5.767,1,0.134,0.267,0.0,0.618,133.955,4,spotify:track:64MUY6Qk2EErCJu7h0LT7J
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,wake up - live,242465,False,3,23,0.449,0.665,0.906,10,-5.704,0,0.0872,0.0226,0.0145,0.743,139.935,4,spotify:track:3MLSLZ8vEYNOBQfFgZ6quF
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,baby don’t like it - live,175413,False,4,30,0.25,0.642,0.661,5,-6.724,0,0.0595,0.121,9.84e-06,0.705,96.847,4,spotify:track:0V0HWYC9ZO269cOXTgPbB6
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,mad city - live,225546,False,5,28,0.331,0.702,0.939,0,-5.36,1,0.15,0.185,0.0,0.421,105.02,4,spotify:track:1Pny7YmkEUa0sIt81gICfy
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,good thing - live,231346,False,6,24,0.582,0.441,0.846,0,-4.057,1,0.0758,0.242,0.0,0.854,102.25,1,spotify:track:75XVxnwvvyxb2PMnDEgBEP
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,touch - live,200200,False,7,28,0.587,0.575,0.883,1,-4.658,1,0.0843,0.057,0.0,0.934,93.013,4,spotify:track:6ejba4BypjeVSs5VfDW8w2
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,heartbreaker - live,196893,False,8,25,0.741,0.53,0.887,0,-4.082,1,0.111,0.261,0.0,0.913,154.863,4,spotify:track:099R8xE6ktrWXaxPQtvnHV
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,replay (pm 01:27) - live,214333,False,9,25,0.213,0.631,0.766,8,-5.826,1,0.059,0.18,4.61e-05,0.179,124.962,4,spotify:track:3DNrbDrQf01vTNRrtDCD7Q
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,fire truck - live,161053,False,10,27,0.337,0.729,0.933,0,-4.968,1,0.0646,0.0627,0.0,0.634,119.855,4,spotify:track:1Uwimd5ZdbS637jflmQAwA
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,simon says - live,203186,False,11,27,0.459,0.584,0.941,9,-4.372,1,0.381,0.283,0.0,0.541,151.926,4,spotify:track:3fmyacJEKuPiush8OaJ6m8
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,welcome to my playground - live,240053,False,12,29,0.533,0.67,0.773,5,-4.639,1,0.103,0.459,0.0,0.635,94.032,4,spotify:track:0vQp6vS75JZSZoHAOrom93
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,summer 127 - live,235693,False,13,29,0.418,0.685,0.933,6,-3.381,0,0.0767,0.126,0.0,0.479,124.989,4,spotify:track:0CKcH89qAZQaa2JzaV4qyM
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,album,2019-10-24,25,spotify:album:5tS5Lpx9RSoJCoPPUuEnwy,0 mile - live,207345,False,14,25,0.842,0.678,0.946,9,-5.219,0,0.0424,0.055,0.0,0.878,117.998,4,spotify:track:1QucGFmMGpEv2N2h7l6foo
NCT 127,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,album,2019-05-24,6,spotify:album:3Xv60ja2pLxH3Wk0x0JIWT,highway to heaven,200573,False,1,49,0.536,0.642,0.729,6,-5.005,1,0.056,0.0297,0.0,0.102,112.966,4,spotify:track:38dC0QJ7eBKb3F27O0i0LT
NCT 127,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,album,2019-05-24,6,spotify:album:3Xv60ja2pLxH3Wk0x0JIWT,superhuman,237853,False,2,55,0.609,0.679,0.797,2,-4.627,1,0.338,0.0438,0.0,0.0748,117.018,4,spotify:track:4baWaXmm0BFFT3Qe3uSvs9
